iteration,policy_loss,value_loss,entropy,approx_kl,clip_fraction,total_loss,n_updates,target_kl,max_grad_norm,value_only,mean_reward,sum_reward,buffer_size,sil_loss,sil_trajs,sil_windows,sil_updates
138,0.112877,16.401351,-0.364119,0.039958,0.25,4.213578,2.0,0.01,5.0,,0.2403,1201.5954,5000.0,138.359566,20.0,7737.0,40.0
139,0.09809,14.63763,-0.363874,0.010488,0.101562,3.757861,2.0,0.01,5.0,,0.2479,1239.62,5000.0,122.507313,20.0,7737.0,40.0
140,-0.049978,24.32626,-0.363737,0.017508,0.119792,6.03195,3.0,0.01,5.0,,0.2567,1283.5086,5000.0,119.98747,20.0,7737.0,40.0
141,0.042365,93.857816,-0.363691,0.013094,0.104167,23.507183,3.0,0.01,5.0,,0.2712,1355.9092,5000.0,117.603726,20.0,7663.0,40.0
142,0.016242,16.541481,-0.363541,0.010772,0.117188,4.151976,2.0,0.01,5.0,,0.2497,1248.3145,5000.0,117.306042,20.0,7663.0,40.0
143,-0.16982,89.883158,-0.363127,0.013234,0.15625,22.301332,3.0,0.01,5.0,,0.2553,1276.4855,5000.0,102.069717,20.0,7663.0,40.0
144,0.114805,26.1698,-0.362852,0.009647,0.101562,6.657617,2.0,0.01,5.0,,0.3261,1630.4786,5000.0,101.086475,20.0,7623.0,40.0
145,0.073158,23.446062,-0.362716,0.008157,0.078125,5.935037,2.0,0.01,5.0,,0.2655,1327.4402,5000.0,104.067947,20.0,7623.0,40.0
146,0.008983,46.922212,-0.362474,0.009842,0.145833,11.739898,3.0,0.01,5.0,,0.3007,1503.5482,5000.0,104.759069,20.0,7623.0,40.0
147,-0.042289,17.808078,-0.362123,0.012051,0.119792,4.410092,3.0,0.01,5.0,,0.2256,1128.0492,5000.0,96.558773,20.0,7623.0,40.0
148,0.02765,24.043303,-0.362076,0.010762,0.145833,6.038838,3.0,0.01,5.0,,0.2429,1214.622,5000.0,97.823325,20.0,7623.0,40.0
149,0.024499,19.051472,-0.362226,0.018298,0.171875,4.787729,4.0,0.01,5.0,,0.2895,1447.6876,5000.0,102.908439,20.0,7623.0,40.0
150,0.091005,24.249763,-0.362367,0.010619,0.145833,6.153808,3.0,0.01,5.0,,0.286,1429.7728,5000.0,97.755798,20.0,7623.0,40.0
151,-0.089155,38.903776,-0.362253,0.009304,0.0625,9.637152,2.0,0.01,5.0,,0.3111,1555.4229,5000.0,88.646227,20.0,7623.0,40.0
152,-0.012578,45.109249,-0.362061,0.009064,0.083333,11.265096,3.0,0.01,5.0,,0.2574,1287.1392,5000.0,89.112634,20.0,7623.0,40.0
153,-0.06403,33.259257,-0.361717,0.011777,0.145833,8.251146,3.0,0.01,5.0,,0.2921,1460.6887,5000.0,87.609604,20.0,7623.0,40.0
154,0.093719,34.513551,-0.360949,0.011572,0.109375,8.722468,4.0,0.01,5.0,,0.2793,1396.7464,5000.0,88.507841,20.0,7557.0,40.0
155,0.017245,38.200267,-0.360338,0.008454,0.09375,9.567672,3.0,0.01,5.0,,0.3032,1516.192,5000.0,87.007865,20.0,7557.0,40.0
